State/UT,Dowry Deaths ,Murder with Rape,Acid Attack ,Cruelty by Husband or his relatives,Kidnapping & Abduction,Procuration of Minor Girls ,Sexual Assault of Children ,year,Total crimes
DELHI,0,5,38,4,13,1,0,2012,61
DELHI,6,14,0,70,84,1,0,2012,175
DELHI,25,78,0,293,263,1,0,2012,660
DELHI,12,64,0,212,184,1,0,2012,473
DELHI,15,67,0,244,317,1,0,2012,644
DELHI,17,70,5,68,134,1,0,2012,295
DELHI,11,116,0,123,306,1,0,2012,557
DELHI,18,87,0,207,244,1,0,2012,557
DELHI,0,0,3,0,0,1,0,2012,4
DELHI,18,79,0,327,256,1,0,2012,681
LAKSHADWEEP,0,0,6,1,0,1,0,2012,8
LAKSHADWEEP,0,0,7,1,0,1,0,2012,9
PUDUCHERRY,0,6,0,1,2,1,0,2012,10
PUDUCHERRY,0,7,0,5,14,1,0,2012,27
PUDUCHERRY,0,13,5,6,16,1,0,2012,41
Andhra Pradesh,12,61,4,464,47,1,0,2013,589
Andhra Pradesh,23,28,1,161,84,1,0,2013,298
Andhra Pradesh,13,31,0,435,27,1,0,2013,507
Andhra Pradesh,9,19,0,207,50,1,0,2013,286
Andhra Pradesh,43,138,7,1526,129,1,0,2013,1844
Andhra Pradesh,15,74,2,483,33,1,0,2013,608
Andhra Pradesh,0,0,8,0,0,1,0,2013,9
Andhra Pradesh,16,38,6,608,54,1,0,2013,723
Andhra Pradesh,7,28,0,326,34,1,0,2013,396
Andhra Pradesh,39,101,0,1480,52,1,0,2013,1673
Andhra Pradesh,39,57,0,670,103,1,0,2013,870
Andhra Pradesh,15,100,0,768,104,1,0,2013,988
Andhra Pradesh,14,58,3,708,37,1,0,2013,821
Andhra Pradesh,11,26,5,203,50,1,0,2013,296
Andhra Pradesh,33,117,2,234,63,1,0,2013,450
Andhra Pradesh,25,64,0,476,38,1,0,2013,604
Andhra Pradesh,27,77,4,327,110,1,0,2013,546
Andhra Pradesh,8,26,0,374,81,1,0,2013,490
Andhra Pradesh,17,49,1,732,33,1,0,2013,833
Andhra Pradesh,8,39,44,484,57,1,0,2013,633
Andhra Pradesh,2,14,2,209,4,1,0,2013,232
Andhra Pradesh,14,37,38,168,25,1,0,2013,283
Andhra Pradesh,0,0,0,0,2,1,0,2013,3
Andhra Pradesh,3,42,0,361,23,1,0,2013,430
Andhra Pradesh,7,10,0,133,15,1,0,2013,166
Andhra Pradesh,12,48,0,1227,45,1,0,2013,1333
Andhra Pradesh,2,1,8,0,1,1,0,2013,13
Andhra Pradesh,8,32,0,210,23,1,0,2013,274
Andhra Pradesh,8,67,0,548,50,1,0,2013,674
Andhra Pradesh,10,42,4,383,25,1,0,2013,465
Andhra Pradesh,20,52,0,129,63,1,0,2013,265
Andhra Pradesh,16,36,4,195,47,1,0,2013,299
Andhra Pradesh,16,123,1,855,86,1,0,2013,1082
Andhra Pradesh,492,1635,1,15084,1595,1,0,2013,18808
Arunachal Pradesh,0,0,0,0,0,1,0,2013,1
Arunachal Pradesh,0,5,4,1,5,1,0,2013,16
Arunachal Pradesh,0,0,1,0,1,1,0,2013,3
Arunachal Pradesh,0,0,0,0,1,1,0,2013,2
Arunachal Pradesh,0,2,1,0,12,1,0,2013,16
Arunachal Pradesh,0,2,6,0,0,1,0,2013,9
Arunachal Pradesh,0,10,4,2,22,1,0,2013,39
Arunachal Pradesh,0,1,5,0,2,1,0,2013,9
Arunachal Pradesh,0,18,4,20,22,1,0,2013,65
Arunachal Pradesh,0,3,0,1,5,1,0,2013,10
Arunachal Pradesh,0,10,2,1,2,1,0,2013,16
Arunachal Pradesh,0,0,0,0,2,1,0,2013,3
Arunachal Pradesh,0,7,0,3,6,1,0,2013,17
Arunachal Pradesh,0,5,6,0,0,1,0,2013,12
Arunachal Pradesh,0,10,2,0,2,1,0,2013,15
Arunachal Pradesh,0,2,2,1,1,1,0,2013,7
Arunachal Pradesh,0,0,0,0,2,1,0,2013,3
Arunachal Pradesh,0,0,0,0,1,1,0,2013,2
Arunachal Pradesh,0,75,4,29,86,1,0,2013,195
Assam,1,20,2,32,46,1,0,2013,102
Assam,18,148,23,1016,348,1,0,2013,1554
Assam,0,0,1,0,0,1,0,2013,2
Assam,9,68,29,100,95,1,0,2013,302
Assam,0,0,0,0,0,1,0,2013,1
Assam,12,79,1,537,221,1,0,2013,851
Assam,1,30,0,78,50,1,0,2013,160
Assam,3,92,2,378,145,1,0,2013,621
Assam,1,42,0,85,70,1,0,2013,199
Assam,9,190,0,1080,350,1,0,2013,1630
Assam,0,65,0,239,108,1,0,2013,413
Assam,0,0,0,0,6,1,0,2013,7
Assam,7,73,12,326,103,1,0,2013,522
Assam,3,85,4,284,181,1,0,2013,558
Assam,15,103,0,561,432,1,0,2013,1112
Assam,2,60,4,169,71,1,0,2013,307
Assam,0,14,1,0,9,1,0,2013,25
Assam,0,79,1,307,160,1,0,2013,548
Assam,3,66,1,305,154,1,0,2013,530
Assam,0,8,4,39,43,1,0,2013,95
Assam,9,44,1,266,108,1,0,2013,429
Assam,5,32,0,134,79,1,0,2013,251
Assam,3,59,1,300,123,1,0,2013,487
Assam,8,76,6,271,123,1,0,2013,485
Assam,3,5,4,0,24,1,0,2013,37
Assam,23,190,5,1120,438,1,0,2013,1777
Assam,3,44,4,178,90,1,0,2013,320
Assam,0,9,0,0,3,1,0,2013,13
Assam,5,60,2,311,179,1,0,2013,558
Assam,15,99,0,300,205,1,0,2013,620
Assam,0,0,0,0,0,1,0,2013,1
Assam,7,77,6,140,201,1,0,2013,432
Assam,5,20,2,80,57,1,0,2013,165
Assam,170,1937,2,8636,4222,1,0,2013,14968
Bihar,12,52,0,19,90,1,0,2013,174
Bihar,15,6,0,30,32,1,0,2013,84
Bihar,28,19,4,141,52,1,0,2013,245
Bihar,14,15,2,55,64,1,0,2013,151
Bihar,28,33,23,69,69,1,0,2013,223
Bihar,28,24,1,93,125,1,0,2013,272
Bihar,26,39,29,148,154,1,0,2013,397
Bihar,27,16,0,49,52,1,0,2013,145
Bihar,19,51,1,115,123,1,0,2013,310
Bihar,38,23,0,137,93,1,0,2013,292
Bihar,9,16,2,78,63,1,0,2013,169
Bihar,33,38,0,343,196,1,0,2013,611
Bihar,37,45,0,212,175,1,0,2013,470
Bihar,33,11,0,143,85,1,0,2013,273
Bihar,0,1,0,1,0,1,0,2013,3
Bihar,19,24,0,104,37,1,0,2013,185
Bihar,30,14,1,57,26,1,0,2013,129
Bihar,21,86,2,99,148,1,0,2013,357
Bihar,0,1,5,2,4,1,0,2013,13
Bihar,13,8,7,25,59,1,0,2013,113
Bihar,7,52,1,65,90,1,0,2013,216
Bihar,11,9,2,70,26,1,0,2013,119
Bihar,17,14,0,64,70,1,0,2013,166
Bihar,28,37,0,210,141,1,0,2013,417
Bihar,65,25,0,196,226,1,0,2013,513
Bihar,13,7,1,66,55,1,0,2013,143
Bihar,48,43,2,81,295,1,0,2013,470
Bihar,0,3,5,0,5,1,0,2013,14
Bihar,81,11,7,174,107,1,0,2013,381
Bihar,16,10,1,69,26,1,0,2013,123
Bihar,23,20,2,122,51,1,0,2013,219
Bihar,96,76,0,459,412,1,0,2013,1044
Bihar,3,2,0,1,11,1,0,2013,18
Bihar,21,56,0,19,93,1,0,2013,190
Bihar,48,60,1,97,135,1,0,2013,342
Bihar,10,14,2,79,64,1,0,2013,170
Bihar,32,35,5,116,128,1,0,2013,317
Bihar,69,16,7,116,125,1,0,2013,334
Bihar,8,10,1,47,34,1,0,2013,101
Bihar,7,3,2,19,41,1,0,2013,73
Bihar,24,26,0,140,182,1,0,2013,373
Bihar,45,19,0,112,190,1,0,2013,367
Bihar,19,34,0,78,103,1,0,2013,235
Bihar,61,24,1,213,162,1,0,2013,462
Bihar,1182,1128,2,4533,4419,1,0,2013,11265
Chhattisgarh,3,20,5,11,20,1,0,2013,60
Chhattisgarh,4,55,7,31,129,1,0,2013,227
Chhattisgarh,8,84,1,31,0,1,0,2013,125
Chhattisgarh,5,28,2,19,27,1,0,2013,82
Chhattisgarh,13,96,0,130,295,1,0,2013,535
Chhattisgarh,0,6,0,1,10,1,0,2013,18
Chhattisgarh,0,9,0,1,6,1,0,2013,17
Chhattisgarh,0,30,1,14,29,1,0,2013,75
Chhattisgarh,9,106,2,147,83,1,0,2013,348
Chhattisgarh,0,32,5,12,23,1,0,2013,73
Chhattisgarh,0,2,7,1,1,1,0,2013,12
Chhattisgarh,2,53,1,16,40,1,0,2013,113
Chhattisgarh,11,56,2,138,158,1,0,2013,366
Chhattisgarh,3,88,0,25,41,1,0,2013,158
Chhattisgarh,3,30,0,11,29,1,0,2013,74
Chhattisgarh,2,51,0,29,39,1,0,2013,122
Chhattisgarh,0,19,1,6,25,1,0,2013,52
Chhattisgarh,4,57,2,66,63,1,0,2013,193
Chhattisgarh,3,63,5,55,64,1,0,2013,191
Chhattisgarh,8,49,7,48,102,1,0,2013,215
Chhattisgarh,4,23,1,23,61,1,0,2013,113
Chhattisgarh,0,10,2,2,3,1,0,2013,18
Chhattisgarh,5,90,0,53,163,1,0,2013,312
Chhattisgarh,11,139,0,173,327,1,0,2013,651
Chhattisgarh,7,46,0,32,72,1,0,2013,158
Chhattisgarh,0,71,1,35,19,1,0,2013,127
Chhattisgarh,1,8,2,4,3,1,0,2013,19
Chhattisgarh,3,59,5,67,49,1,0,2013,184
Chhattisgarh,109,1380,7,1181,1881,1,0,2013,4559
Goa,0,48,1,17,31,1,0,2013,98
Goa,0,38,2,23,39,1,0,2013,103
Goa,0,86,0,40,70,1,0,2013,197
Gujarat,20,116,0,1756,353,1,0,2013,2246
Gujarat,0,17,0,167,62,1,0,2013,247
Gujarat,0,4,1,20,5,1,0,2013,31
Gujarat,0,11,2,157,60,1,0,2013,231
Gujarat,1,12,5,162,70,1,0,2013,251
Gujarat,0,23,7,53,41,1,0,2013,125
Gujarat,1,17,1,220,100,1,0,2013,340
Gujarat,0,0,2,0,1,1,0,2013,4
Gujarat,0,14,0,1,75,1,0,2013,91
Gujarat,0,22,0,200,61,1,0,2013,284
Gujarat,0,14,0,304,74,1,0,2013,393
Gujarat,1,27,1,480,46,1,0,2013,556
Gujarat,1,29,2,461,76,1,0,2013,570
Gujarat,0,14,5,148,64,1,0,2013,232
Gujarat,0,25,7,249,41,1,0,2013,323
Gujarat,0,28,1,200,26,1,0,2013,256
Gujarat,0,11,2,321,124,1,0,2013,459
Gujarat,0,7,0,10,21,1,0,2013,39
Gujarat,0,9,0,88,31,1,0,2013,129
Gujarat,0,62,0,377,94,1,0,2013,534
Gujarat,0,16,1,217,96,1,0,2013,331
Gujarat,0,19,2,174,74,1,0,2013,270
Gujarat,0,6,5,79,14,1,0,2013,105
Gujarat,1,14,7,254,47,1,0,2013,324
Gujarat,1,30,1,404,74,1,0,2013,511
Gujarat,2,76,2,491,195,1,0,2013,767
Gujarat,1,19,0,114,27,1,0,2013,162
Gujarat,0,18,0,133,66,1,0,2013,218
Gujarat,0,8,0,12,17,1,0,2013,38
Gujarat,0,19,1,417,68,1,0,2013,506
Gujarat,0,25,2,110,71,1,0,2013,209
Gujarat,0,19,5,28,49,1,0,2013,102
Gujarat,0,0,7,5,5,1,0,2013,18
Gujarat,0,1,1,0,2,1,0,2013,5
Gujarat,29,732,2,7812,2230,1,0,2013,10806
Haryana,3,17,0,79,58,1,0,2013,158
Haryana,1,24,0,170,92,1,0,2013,288
Haryana,20,52,2,144,118,1,0,2013,337
Haryana,22,65,4,255,115,1,0,2013,462
Haryana,2,30,5,193,41,1,0,2013,272
Haryana,3,2,9,0,7,1,0,2013,22
Haryana,18,82,0,290,184,1,0,2013,575
Haryana,17,61,1,319,97,1,0,2013,496
Haryana,0,0,3,0,0,1,0,2013,4
Haryana,22,17,2,109,38,1,0,2013,189
Haryana,9,38,1,121,73,1,0,2013,243
Haryana,4,26,6,146,72,1,0,2013,255
Haryana,12,72,0,213,218,1,0,2013,516
Haryana,8,25,2,137,56,1,0,2013,229
Haryana,9,28,4,84,53,1,0,2013,179
Haryana,10,68,5,198,33,1,0,2013,315
Haryana,12,51,9,192,49,1,0,2013,314
Haryana,4,15,0,80,102,1,0,2013,202
Haryana,14,52,1,118,114,1,0,2013,300
Haryana,13,43,3,117,48,1,0,2013,225
Haryana,17,51,2,127,57,1,0,2013,255
Haryana,5,64,1,187,113,1,0,2013,371
Haryana,27,50,6,167,57,1,0,2013,308
Haryana,11,38,0,171,162,1,0,2013,383
Haryana,263,971,2,3617,1957,1,0,2013,6811
Himachal Pradesh,0,6,4,20,23,1,0,2013,54
Himachal Pradesh,0,13,5,32,43,1,0,2013,94
Himachal Pradesh,0,19,9,7,13,1,0,2013,49
Himachal Pradesh,0,1,0,0,0,1,0,2013,2
Himachal Pradesh,0,0,1,0,0,1,0,2013,2
Himachal Pradesh,0,12,3,23,11,1,0,2013,50
Himachal Pradesh,0,33,2,53,53,1,0,2013,142
Himachal Pradesh,0,6,1,4,2,1,0,2013,14
Himachal Pradesh,0,29,6,30,26,1,0,2013,92
Himachal Pradesh,0,1,0,0,0,1,0,2013,2
Himachal Pradesh,0,31,2,34,36,1,0,2013,104
Himachal Pradesh,0,32,4,29,40,1,0,2013,106
Himachal Pradesh,0,25,5,23,11,1,0,2013,65
Himachal Pradesh,0,17,9,16,14,1,0,2013,57
Himachal Pradesh,0,25,0,57,18,1,0,2013,101
Himachal Pradesh,0,250,1,328,290,1,0,2013,870
Jammu & Kashmir,0,19,3,4,88,1,0,2013,115
Jammu & Kashmir,0,5,2,1,14,1,0,2013,23
Jammu & Kashmir,0,8,1,5,50,1,0,2013,65
Jammu & Kashmir,0,19,6,13,92,1,0,2013,131
Jammu & Kashmir,0,11,0,2,61,1,0,2013,75
Jammu & Kashmir,0,0,2,0,0,1,0,2013,3
Jammu & Kashmir,0,0,4,0,0,1,0,2013,5
Jammu & Kashmir,0,29,5,41,36,1,0,2013,112
Jammu & Kashmir,0,5,9,5,28,1,0,2013,48
Jammu & Kashmir,0,10,0,5,28,1,0,2013,44
Jammu & Kashmir,5,50,1,92,96,1,0,2013,245
Jammu & Kashmir,0,0,3,0,1,1,0,2013,5
Jammu & Kashmir,0,20,2,21,24,1,0,2013,68
Jammu & Kashmir,0,12,1,19,14,1,0,2013,47
Jammu & Kashmir,0,13,6,0,60,1,0,2013,80
Jammu & Kashmir,0,19,0,10,51,1,0,2013,81
Jammu & Kashmir,0,2,2,0,0,1,0,2013,5
Jammu & Kashmir,0,20,4,14,24,1,0,2013,63
Jammu & Kashmir,0,10,5,3,28,1,0,2013,47
Jammu & Kashmir,0,0,9,0,0,1,0,2013,10
Jammu & Kashmir,0,0,0,0,0,1,0,2013,1
Jammu & Kashmir,0,0,1,0,0,1,0,2013,2
Jammu & Kashmir,1,30,3,57,58,1,0,2013,150
Jammu & Kashmir,0,13,2,9,21,1,0,2013,46
Jammu & Kashmir,0,13,1,14,17,1,0,2013,46
Jammu & Kashmir,1,5,6,12,8,1,0,2013,33
Jammu & Kashmir,0,5,2,2,17,1,0,2013,27
Jammu & Kashmir,0,15,0,5,34,1,0,2013,55
Jammu & Kashmir,0,22,3,72,86,1,0,2013,184
Jammu & Kashmir,0,23,4,22,13,1,0,2013,63
Jammu & Kashmir,7,378,0,428,949,1,0,2013,1763
Jharkhand,15,58,0,243,78,1,0,2013,395
Jharkhand,0,77,4,55,27,1,0,2013,164
Jharkhand,10,25,4,19,25,1,0,2013,84
Jharkhand,24,61,2,252,5,1,0,2013,345
Jharkhand,37,65,1,89,144,1,0,2013,337
Jharkhand,0,0,0,0,5,1,0,2013,6
Jharkhand,10,41,2,73,26,1,0,2013,153
Jharkhand,30,53,9,125,28,1,0,2013,246
Jharkhand,44,53,2,323,29,1,0,2013,452
Jharkhand,8,44,0,0,28,1,0,2013,81
Jharkhand,1,59,3,17,34,1,0,2013,115
Jharkhand,28,63,4,50,62,1,0,2013,208
Jharkhand,15,85,0,186,81,1,0,2013,368
Jharkhand,1,3,0,0,1,1,0,2013,6
Jharkhand,8,32,4,150,21,1,0,2013,216
Jharkhand,0,9,4,8,7,1,1,2013,30
Jharkhand,6,23,2,48,25,1,1,2013,106
Jharkhand,5,27,1,16,10,1,1,2013,61
Jharkhand,3,34,0,35,10,1,1,2013,84
Jharkhand,2,48,2,147,26,1,1,2013,227
Jharkhand,22,31,9,31,24,1,1,2013,119
Jharkhand,14,36,2,25,35,1,1,2013,114
Jharkhand,13,70,0,47,59,1,1,2013,191
Jharkhand,5,145,3,104,83,1,1,2013,342
Jharkhand,6,33,4,28,33,1,1,2013,106
Jharkhand,0,29,0,13,20,1,1,2013,64
Jharkhand,307,1204,0,2084,926,1,1,2013,4523
Karnataka,3,30,4,46,11,1,1,2013,96
Karnataka,52,80,4,482,538,1,1,2013,1158
Karnataka,22,57,2,112,85,1,1,2013,280
Karnataka,7,61,1,200,25,1,1,2013,296
Karnataka,5,36,0,58,23,1,1,2013,124
Karnataka,7,18,2,112,31,1,1,2013,172
Karnataka,2,28,9,92,21,1,1,2013,154
Karnataka,17,33,2,51,16,1,1,2013,121
Karnataka,4,16,0,25,15,1,1,2013,62
Karnataka,7,21,3,69,36,1,1,2013,138
Karnataka,7,31,4,64,27,1,1,2013,135
Karnataka,0,14,0,45,15,1,1,2013,76
Karnataka,14,33,0,127,21,1,1,2013,197
Karnataka,4,16,4,85,75,1,1,2013,186
Karnataka,1,18,4,27,0,1,1,2013,52
Karnataka,1,18,2,36,10,1,1,2013,69
Karnataka,8,54,1,122,46,1,1,2013,233
Karnataka,12,61,0,157,47,1,1,2013,279
Karnataka,1,18,2,55,0,1,1,2013,78
Karnataka,6,23,9,15,7,1,1,2013,62
Karnataka,2,26,2,41,17,1,1,2013,90
Karnataka,3,20,0,25,9,1,1,2013,59
Karnataka,0,22,3,59,0,1,1,2013,86
Karnataka,19,31,4,160,64,1,1,2013,280
Karnataka,1,20,0,65,6,1,1,2013,94
Karnataka,12,19,0,43,16,1,1,2013,92
Karnataka,14,26,4,64,6,1,1,2013,116
Karnataka,3,43,4,162,12,1,1,2013,226
Karnataka,2,1,2,0,0,1,1,2013,7
Karnataka,11,21,1,57,41,1,1,2013,133
Karnataka,5,43,0,300,51,1,1,2013,401
Karnataka,14,37,2,87,16,1,1,2013,158
Karnataka,2,22,9,78,11,1,1,2013,124
Karnataka,6,17,2,94,38,1,1,2013,159
Karnataka,3,16,0,61,23,1,1,2013,105
Karnataka,277,1030,3,3276,1359,1,1,2013,5947
Kerala,1,45,4,327,10,1,1,2013,389
Kerala,0,40,0,130,9,1,1,2013,181
Kerala,2,67,0,177,11,1,1,2013,259
Kerala,0,67,4,146,3,1,1,2013,222
Kerala,0,60,4,341,12,1,1,2013,419
Kerala,2,81,2,232,9,1,1,2013,328
Kerala,1,64,1,304,16,1,1,2013,388
Kerala,2,92,0,254,12,1,1,2013,362
Kerala,0,47,2,216,9,1,1,2013,276
Kerala,0,30,9,136,9,1,1,2013,186
Kerala,0,64,2,292,17,1,1,2013,377
Kerala,0,99,0,651,5,1,1,2013,757
Kerala,0,93,3,402,12,1,1,2013,512
Kerala,1,45,4,113,4,1,1,2013,169
Kerala,0,0,0,0,1,1,1,2013,3
Kerala,1,29,0,125,2,1,1,2013,159
Kerala,3,64,4,387,9,1,1,2013,469
Kerala,1,54,4,154,4,1,1,2013,219
Kerala,6,130,2,349,26,1,1,2013,515
Kerala,1,50,1,84,5,1,1,2013,143
Kerala,21,1221,0,4820,185,1,1,2013,6249
Madhya Pradesh,1,24,2,30,8,1,1,2013,67
Madhya Pradesh,0,29,9,19,14,1,1,2013,73
Madhya Pradesh,9,84,2,85,32,1,1,2013,214
Madhya Pradesh,8,64,0,40,23,1,1,2013,137
Madhya Pradesh,6,99,3,92,5,1,1,2013,207
Madhya Pradesh,7,51,4,17,39,1,1,2013,120
Madhya Pradesh,7,119,0,92,66,1,1,2013,286
Madhya Pradesh,28,57,0,53,49,1,1,2013,189
Madhya Pradesh,18,173,4,344,102,1,1,2013,643
Madhya Pradesh,0,5,4,2,2,1,1,2013,15
Madhya Pradesh,5,34,2,42,18,1,1,2013,103
Madhya Pradesh,24,77,1,81,38,1,1,2013,223
Madhya Pradesh,9,151,0,145,187,1,1,2013,494
Madhya Pradesh,25,50,2,59,20,1,1,2013,158
Madhya Pradesh,16,27,9,40,20,1,1,2013,114
Madhya Pradesh,8,81,2,101,16,1,1,2013,210
Madhya Pradesh,48,108,0,115,169,1,1,2013,442
Madhya Pradesh,6,76,3,47,20,1,1,2013,154
Madhya Pradesh,5,105,4,36,23,1,1,2013,175
Madhya Pradesh,43,158,0,446,53,1,1,2013,702
Madhya Pradesh,3,33,0,16,5,1,1,2013,59
Madhya Pradesh,10,79,4,84,76,1,1,2013,255
Madhya Pradesh,31,190,4,350,288,1,1,2013,865
Madhya Pradesh,1,3,2,0,6,1,1,2013,14
Madhya Pradesh,37,145,1,218,151,1,1,2013,554
Madhya Pradesh,1,1,0,1,1,1,1,2013,6
Madhya Pradesh,0,49,2,10,73,1,1,2013,136
Madhya Pradesh,13,65,9,60,61,1,1,2013,210
Madhya Pradesh,6,97,2,46,101,1,1,2013,254
Madhya Pradesh,34,95,0,111,167,1,1,2013,409
Madhya Pradesh,2,88,3,46,14,1,1,2013,155
Madhya Pradesh,4,74,4,145,27,1,1,2013,256
Madhya Pradesh,40,60,0,151,42,1,1,2013,295
Madhya Pradesh,16,101,0,115,57,1,1,2013,291
Madhya Pradesh,0,49,4,62,41,1,1,2013,158
Madhya Pradesh,14,45,4,29,12,1,1,2013,106
Madhya Pradesh,9,115,2,94,32,1,1,2013,254
Madhya Pradesh,8,120,1,83,71,1,1,2013,285
Madhya Pradesh,10,88,0,77,49,1,1,2013,226
Madhya Pradesh,47,113,2,127,30,1,1,2013,321
Madhya Pradesh,36,135,9,130,55,1,1,2013,367
Madhya Pradesh,35,124,5,135,33,1,1,2013,334
Madhya Pradesh,15,75,2,24,39,1,1,2013,157
Madhya Pradesh,9,115,1,193,96,1,1,2013,416
Madhya Pradesh,2,44,0,37,20,1,1,2013,105
Madhya Pradesh,5,32,0,39,6,1,1,2013,84
Madhya Pradesh,14,106,0,78,30,1,1,2013,230
Madhya Pradesh,17,46,11,70,60,1,1,2013,206
Madhya Pradesh,14,95,4,69,36,1,1,2013,220
Madhya Pradesh,18,38,3,74,78,1,1,2013,213
Madhya Pradesh,14,67,0,40,34,1,1,2013,157
Madhya Pradesh,13,113,3,207,35,1,1,2013,373
Madhya Pradesh,5,38,1,58,35,1,1,2013,139
Madhya Pradesh,20,125,0,123,108,1,1,2013,378
Madhya Pradesh,776,4335,41,4988,2873,1,1,2013,13015
Maharashtra,10,105,3,397,54,1,1,2013,571
Maharashtra,4,46,0,121,24,1,1,2013,197
Maharashtra,2,26,0,38,22,1,1,2013,90
Maharashtra,1,78,0,175,45,1,1,2013,301
Maharashtra,5,22,0,151,35,1,1,2013,215
Maharashtra,14,36,8,273,15,1,1,2013,348
Maharashtra,5,92,0,382,52,1,1,2013,533
Maharashtra,0,40,0,52,13,1,1,2013,107
Maharashtra,20,56,2,140,15,1,1,2013,235
Maharashtra,8,88,5,180,25,1,1,2013,308
Maharashtra,6,40,0,228,25,1,1,2013,301
Maharashtra,0,33,3,14,5,1,1,2013,57
Maharashtra,1,52,6,55,21,1,1,2013,137
Maharashtra,4,15,0,86,12,1,1,2013,119
Maharashtra,2,58,0,425,53,1,1,2013,540
Maharashtra,50,35,7,351,29,1,1,2013,474
Maharashtra,14,84,0,204,43,1,1,2013,347
Maharashtra,4,37,0,297,38,1,1,2013,378
Maharashtra,21,391,0,602,251,1,1,2013,1267
Maharashtra,0,6,0,0,5,1,1,2013,13
Maharashtra,4,91,2,218,80,1,1,2013,397
Maharashtra,0,2,4,1,2,1,1,2013,11
Maharashtra,4,75,5,82,29,1,1,2013,197
Maharashtra,30,64,5,341,48,1,1,2013,490
Maharashtra,1,23,0,75,19,1,1,2013,120
Maharashtra,7,20,0,181,16,1,1,2013,226
Maharashtra,9,85,0,405,36,1,1,2013,537
Maharashtra,8,69,0,139,36,1,1,2013,254
Maharashtra,4,48,5,166,26,1,1,2013,251
Maharashtra,4,40,4,271,37,1,1,2013,358
Maharashtra,9,171,1,344,125,1,1,2013,652
Maharashtra,0,3,0,0,2,1,1,2013,7
Maharashtra,6,150,2,224,76,1,1,2013,460
Maharashtra,4,42,10,80,14,1,1,2013,152
Maharashtra,0,27,0,39,8,1,1,2013,76
Maharashtra,8,77,32,141,33,1,1,2013,293
Maharashtra,4,88,2,201,47,1,1,2013,344
Maharashtra,0,11,38,12,5,1,1,2013,68
Maharashtra,1,37,0,63,25,1,1,2013,128
Maharashtra,1,82,0,109,25,1,1,2013,219
Maharashtra,14,182,0,423,178,1,1,2013,799
Maharashtra,8,133,0,217,52,1,1,2013,412
Maharashtra,1,73,5,116,47,1,1,2013,244
Maharashtra,10,26,0,142,21,1,1,2013,201
Maharashtra,12,104,0,381,105,1,1,2013,604
Maharashtra,320,3063,3,8542,1874,1,1,2013,13804
Manipur,0,7,0,1,4,1,1,2013,14
Manipur,0,1,6,0,2,1,1,2013,11
Manipur,0,0,7,0,3,1,1,2013,12
Manipur,0,0,0,0,0,1,1,2013,2
Manipur,0,12,0,8,34,1,1,2013,56
Manipur,0,26,5,9,42,1,1,2013,84
Manipur,0,0,4,1,3,1,1,2013,10
Manipur,0,0,1,0,2,1,1,2013,5
Manipur,0,24,0,9,32,1,1,2013,67
Manipur,0,2,0,1,3,1,1,2013,8
Manipur,0,72,7,29,125,1,1,2013,235
Meghalaya,0,5,2,0,1,1,1,2013,10
Meghalaya,0,1,8,1,5,1,1,2013,17
Meghalaya,0,7,6,1,1,1,1,2013,17
Meghalaya,0,10,0,0,1,1,1,2013,13
Meghalaya,0,15,0,6,1,1,1,2013,24
Meghalaya,0,14,0,0,1,1,1,2013,17
Meghalaya,0,24,0,2,0,1,1,2013,28
Meghalaya,2,55,3,11,11,1,1,2013,84
Meghalaya,0,11,5,2,2,1,1,2013,22
Meghalaya,0,12,2,0,4,1,1,2013,20
Meghalaya,0,29,0,0,6,1,1,2013,37
Meghalaya,2,183,4,23,33,1,1,2013,247
Mizoram,0,37,0,5,1,1,1,2013,45
Mizoram,0,12,1,0,0,1,1,2013,15
Mizoram,0,9,44,0,1,1,1,2013,56
Mizoram,0,3,2,0,0,1,1,2013,7
Mizoram,0,15,38,0,0,1,1,2013,55
Mizoram,0,5,0,0,0,1,1,2013,7
Mizoram,0,4,0,0,0,1,1,2013,6
Mizoram,0,4,0,0,0,1,1,2013,6
Mizoram,0,0,0,0,0,1,1,2013,2
Mizoram,0,0,8,0,0,1,1,2013,10
Mizoram,0,89,0,5,2,1,1,2013,98
Nagaland,1,14,0,4,10,1,1,2013,31
Nagaland,0,2,4,0,0,1,1,2013,8
Nagaland,0,5,0,0,0,1,1,2013,7
Nagaland,0,0,4,0,0,1,1,2013,6
Nagaland,0,3,1,0,0,1,1,2013,6
Nagaland,0,1,1,0,1,1,1,2013,5
Nagaland,0,1,0,0,0,1,1,2013,3
Nagaland,0,4,4,0,0,1,1,2013,10
Nagaland,0,1,1,0,0,1,1,2013,4
Nagaland,0,0,0,0,0,1,1,2013,2
Nagaland,0,0,1,0,0,1,1,2013,3
Nagaland,1,31,6,4,11,1,1,2013,55
Odisha,0,64,4,68,113,1,1,2013,251
Odisha,49,94,5,396,154,1,1,2013,700
Odisha,4,49,4,79,42,1,1,2013,180
Odisha,1,33,0,71,60,1,1,2013,167
Odisha,12,69,2,202,100,1,1,2013,387
Odisha,11,44,0,42,44,1,1,2013,143
Odisha,1,49,0,31,37,1,1,2013,120
Odisha,29,44,6,28,57,1,1,2013,166
Odisha,18,51,2,58,91,1,1,2013,222
Odisha,2,30,2,183,76,1,1,2013,295
